position,parent,auc,normalized_auc
{filler},cleft,0.09666666666666668,0.6590909090909092
{filler},embedded_wh_finite,0.14666666666666667,1.0
{filler},embedded_wh_nonfinite,0.12,0.8181818181818181
{filler},pseudo_cleft,0.04333333333333333,0.2954545454545454
{filler},restricted_rc,0.03,0.20454545454545453
{filler},topicalization,0.02,0.13636363636363635
{filler},wh_question,0.08666666666666666,0.5909090909090908
the_1,cleft,0.10666666666666667,0.5245901639344264
the_1,embedded_wh_finite,0.2033333333333333,1.0
the_1,embedded_wh_nonfinite,0.15666666666666668,0.7704918032786887
the_1,pseudo_cleft,0.08666666666666667,0.4262295081967214
the_1,restricted_rc,0.06333333333333332,0.3114754098360656
the_1,topicalization,0.07,0.34426229508196726
the_1,wh_question,0.18666666666666668,0.918032786885246
{np1},cleft,0.32333333333333336,0.9326923076923077
{np1},embedded_wh_finite,0.3466666666666667,1.0
{np1},embedded_wh_nonfinite,0.33333333333333337,0.9615384615384616
{np1},pseudo_cleft,0.1,0.2884615384615385
{np1},restricted_rc,0.09,0.2596153846153846
{np1},topicalization,0.21333333333333332,0.6153846153846153
{np1},wh_question,0.14666666666666667,0.4230769230769231
{verb1},cleft,0.3433333333333333,0.7862595419847328
{verb1},embedded_wh_finite,0.43666666666666665,1.0
{verb1},embedded_wh_nonfinite,0.42333333333333334,0.9694656488549619
{verb1},pseudo_cleft,0.10666666666666666,0.24427480916030533
{verb1},restricted_rc,0.16,0.366412213740458
{verb1},topicalization,0.30333333333333334,0.6946564885496184
{verb1},wh_question,0.15,0.3435114503816794
that,cleft,0.37999999999999995,0.6096256684491979
that,embedded_wh_finite,0.6233333333333333,1.0
that,embedded_wh_nonfinite,0.42000000000000004,0.6737967914438504
that,pseudo_cleft,0.11,0.17647058823529413
that,restricted_rc,0.2533333333333333,0.4064171122994652
that,topicalization,0.2733333333333333,0.4385026737967914
that,wh_question,0.16666666666666666,0.26737967914438504
the_2,cleft,0.2533333333333333,0.3114754098360656
the_2,embedded_wh_finite,0.8133333333333332,1.0
the_2,embedded_wh_nonfinite,0.6966666666666665,0.8565573770491802
the_2,pseudo_cleft,0.17,0.209016393442623
the_2,restricted_rc,0.24,0.2950819672131148
the_2,topicalization,0.15,0.18442622950819673
the_2,wh_question,0.26,0.319672131147541
{np2},cleft,0.4466666666666667,0.5877192982456141
{np2},embedded_wh_finite,0.76,1.0
{np2},embedded_wh_nonfinite,0.6466666666666667,0.8508771929824562
{np2},pseudo_cleft,0.09666666666666665,0.12719298245614033
{np2},restricted_rc,0.38,0.5
{np2},topicalization,0.36333333333333334,0.4780701754385965
{np2},wh_question,0.13333333333333333,0.17543859649122806
{verb2},cleft,0.48,0.8727272727272728
{verb2},embedded_wh_finite,0.5499999999999999,1.0
{verb2},embedded_wh_nonfinite,0.51,0.9272727272727274
{verb2},pseudo_cleft,0.41666666666666663,0.7575757575757576
{verb2},restricted_rc,0.32999999999999996,0.6
{verb2},topicalization,0.35,0.6363636363636364
{verb2},wh_question,0.44333333333333336,0.8060606060606063
