position,parent,auc,normalized_auc
{filler},cleft,0.02375,0.15702479338842976
{filler},control,0.01125,0.0743801652892562
{filler},control_lexical,0.01,0.06611570247933884
{filler},embedded_wh_finite,0.05374999999999999,0.35537190082644626
{filler},embedded_wh_nonfinite,0.048749999999999995,0.32231404958677684
{filler},pseudo_cleft,0.15125,1.0
{filler},restricted_rc,0.03125,0.2066115702479339
{filler},topicalization,0.053750000000000006,0.3553719008264463
{filler},wh_question,0.06375,0.42148760330578516
the,cleft,0.13125,0.3559322033898305
the,control,0.02375,0.06440677966101695
the,control_lexical,0.02,0.05423728813559322
the,embedded_wh_finite,0.07125000000000001,0.19322033898305085
the,embedded_wh_nonfinite,0.08625,0.23389830508474574
the,pseudo_cleft,0.36875,1.0
the,restricted_rc,0.04875,0.13220338983050847
the,topicalization,0.11375,0.3084745762711864
the,wh_question,0.13125,0.3559322033898305
{np},cleft,0.25625,0.49397590361445776
{np},control,0.03125,0.06024096385542168
{np},control_lexical,0.1175,0.2265060240963855
{np},embedded_wh_finite,0.13125,0.25301204819277107
{np},embedded_wh_nonfinite,0.10375,0.19999999999999998
{np},pseudo_cleft,0.51875,1.0
{np},restricted_rc,0.16125,0.3108433734939759
{np},topicalization,0.26875000000000004,0.5180722891566265
{np},wh_question,0.28875,0.5566265060240964
{verb},cleft,0.40875,0.9879154078549849
{verb},control,0.03375,0.08157099697885196
{verb},control_lexical,0.2825,0.6827794561933535
{verb},embedded_wh_finite,0.32125,0.7764350453172205
{verb},embedded_wh_nonfinite,0.26375000000000004,0.637462235649547
{verb},pseudo_cleft,0.27875,0.6737160120845921
{verb},restricted_rc,0.22875,0.5528700906344411
{verb},topicalization,0.41375,1.0
{verb},wh_question,0.33625000000000005,0.812688821752266
